"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"1681",2339587,"WSH_WATER_SAFELY_MANAGED","COUNTRY","SRB","EUR","YEAR","Europe","RESIDENCEAREATYPE",2019,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"67",66.55806,NA,NA,NA,"2023-07-10T13:18:56+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"1682",2343386,"WSH_WATER_SAFELY_MANAGED","COUNTRY","CHL","AMR","YEAR","Americas","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"98",98.17712,NA,NA,NA,"2023-07-10T13:17:44+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"1683",2343834,"WSH_WATER_SAFELY_MANAGED","COUNTRY","KHM","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2019,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"27",27.29621,NA,NA,NA,"2023-07-10T13:18:19+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"1684",2347229,"WSH_WATER_SAFELY_MANAGED","COUNTRY","HND","AMR","YEAR","Americas","RESIDENCEAREATYPE",2022,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"46",45.69121,NA,NA,NA,"2023-07-10T13:18:09+02:00","2022","2022-01-01T00:00:00+01:00","2022-12-31T00:00:00+01:00"
"1685",2354871,"WSH_WATER_SAFELY_MANAGED","COUNTRY","PER","AMR","YEAR","Americas","RESIDENCEAREATYPE",2009,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"18",17.62228,NA,NA,NA,"2023-07-10T13:18:42+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"1686",2357626,"WSH_WATER_SAFELY_MANAGED","COUNTRY","NGA","AFR","YEAR","Africa","RESIDENCEAREATYPE",2010,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"21",21.18622,NA,NA,NA,"2023-07-10T13:18:36+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"1687",2357992,"WSH_WATER_SAFELY_MANAGED","COUNTRY","IRN","EMR","YEAR","Eastern Mediterranean","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"82",81.63827,NA,NA,NA,"2023-07-10T13:18:12+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"1688",2358083,"WSH_WATER_SAFELY_MANAGED","COUNTRY","MDG","AFR","YEAR","Africa","RESIDENCEAREATYPE",2021,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"40",40.15499,NA,NA,NA,"2023-07-10T13:18:30+02:00","2021","2021-01-01T00:00:00+01:00","2021-12-31T00:00:00+01:00"
"1689",2360672,"WSH_WATER_SAFELY_MANAGED","COUNTRY","VUT","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2007,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"55",55.17863,NA,NA,NA,"2023-07-10T13:19:14+02:00","2007","2007-01-01T00:00:00+01:00","2007-12-31T00:00:00+01:00"
"1690",2361013,"WSH_WATER_SAFELY_MANAGED","REGION","EMR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2005,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"44",43.71881,NA,NA,NA,"2023-07-10T08:09:12+02:00","2005","2005-01-01T00:00:00+01:00","2005-12-31T00:00:00+01:00"
"1691",2362625,"WSH_WATER_SAFELY_MANAGED","REGION","EMR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2009,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"46",45.56872,NA,NA,NA,"2023-07-10T08:09:12+02:00","2009","2009-01-01T00:00:00+01:00","2009-12-31T00:00:00+01:00"
"1692",2362696,"WSH_WATER_SAFELY_MANAGED","COUNTRY","GRC","EUR","YEAR","Europe","RESIDENCEAREATYPE",2011,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"99",99.3272,NA,NA,NA,"2023-07-10T13:18:05+02:00","2011","2011-01-01T00:00:00+01:00","2011-12-31T00:00:00+01:00"
"1693",2363877,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ROU","EUR","YEAR","Europe","RESIDENCEAREATYPE",2010,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"95",94.9535,NA,NA,NA,"2023-07-10T13:18:51+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"1694",2364144,"WSH_WATER_SAFELY_MANAGED","COUNTRY","NIU","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2018,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"94",93.98485,NA,NA,NA,"2023-07-10T13:18:38+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"1695",2365844,"WSH_WATER_SAFELY_MANAGED","REGION","WPR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2010,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"89",88.59747,NA,NA,NA,"2023-07-10T08:09:15+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"1696",2368652,"WSH_WATER_SAFELY_MANAGED","COUNTRY","UGA","AFR","YEAR","Africa","RESIDENCEAREATYPE",2022,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"9",9.32764,NA,NA,NA,"2023-07-10T13:19:10+02:00","2022","2022-01-01T00:00:00+01:00","2022-12-31T00:00:00+01:00"
"1697",2369781,"WSH_WATER_SAFELY_MANAGED","COUNTRY","COG","AFR","YEAR","Africa","RESIDENCEAREATYPE",2018,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"59",58.6264,NA,NA,NA,"2023-07-10T13:17:48+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"1698",2372770,"WSH_WATER_SAFELY_MANAGED","COUNTRY","RUS","EUR","YEAR","Europe","RESIDENCEAREATYPE",2021,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"76",76.13551,NA,NA,NA,"2023-07-10T13:18:52+02:00","2021","2021-01-01T00:00:00+01:00","2021-12-31T00:00:00+01:00"
"1699",2373561,"WSH_WATER_SAFELY_MANAGED","COUNTRY","JPN","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2010,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"98",98.13786,NA,NA,NA,"2023-07-10T13:18:16+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"1700",2374364,"WSH_WATER_SAFELY_MANAGED","COUNTRY","STP","AFR","YEAR","Africa","RESIDENCEAREATYPE",2020,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"36",35.86638,NA,NA,NA,"2023-07-10T13:18:58+02:00","2020","2020-01-01T00:00:00+01:00","2020-12-31T00:00:00+01:00"
"1701",2374666,"WSH_WATER_SAFELY_MANAGED","COUNTRY","AZE","EUR","YEAR","Europe","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"60",60.11043,NA,NA,NA,"2023-07-10T13:17:36+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"1702",2376461,"WSH_WATER_SAFELY_MANAGED","REGION","AFR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2007,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"9",9.1971,NA,NA,NA,"2023-07-10T08:09:10+02:00","2007","2007-01-01T00:00:00+01:00","2007-12-31T00:00:00+01:00"
"1703",2380766,"WSH_WATER_SAFELY_MANAGED","GLOBAL","GLOBAL",NA,"YEAR",NA,"RESIDENCEAREATYPE",2021,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"72",72.49171,NA,NA,NA,"2023-07-10T08:09:16+02:00","2021","2021-01-01T00:00:00+01:00","2021-12-31T00:00:00+01:00"
"1704",2381476,"WSH_WATER_SAFELY_MANAGED","COUNTRY","BTN","SEAR","YEAR","South-East Asia","RESIDENCEAREATYPE",2019,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"53",52.88022,NA,NA,NA,"2023-07-10T13:17:42+02:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"1705",2382581,"WSH_WATER_SAFELY_MANAGED","REGION","WPR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2010,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-10T08:09:15+02:00","2010","2010-01-01T00:00:00+01:00","2010-12-31T00:00:00+01:00"
"1706",2383352,"WSH_WATER_SAFELY_MANAGED","COUNTRY","BHR","EMR","YEAR","Eastern Mediterranean","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"99",98.89501,NA,NA,NA,"2023-07-10T13:17:39+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"1707",2384798,"WSH_WATER_SAFELY_MANAGED","COUNTRY","WSM","WPR","YEAR","Western Pacific","RESIDENCEAREATYPE",2021,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"56",56.09653,NA,NA,NA,"2023-07-10T13:19:16+02:00","2021","2021-01-01T00:00:00+01:00","2021-12-31T00:00:00+01:00"
