"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Dim1","Year","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"120",4236473,"WSH_10_WAT","COUNTRY","BFA","AFR","YEAR","Africa","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"5464 [3932-7346]",5464.42383,3931.68994,7345.66602,NA,"2022-11-01T15:13:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"121",6794856,"WSH_10_WAT","COUNTRY","DOM","AMR","YEAR","Americas","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"62 [40-93]",61.93956,39.68631,93.31493,NA,"2022-11-01T15:12:55+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"122",5876939,"WSH_10_WAT","COUNTRY","SLB","WPR","YEAR","Western Pacific","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"36 [22-53]",36.43422,22.44401,53.29404,NA,"2022-11-01T15:13:03+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"123",6300829,"WSH_10_WAT","COUNTRY","LBR","AFR","YEAR","Africa","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"261 [177-372]",260.78809,176.52699,372.46521,NA,"2022-11-01T15:12:56+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"124",6319858,"WSH_10_WAT","COUNTRY","SRB","EUR","YEAR","Europe","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"38 [14-78]",37.82742,14.03232,78.34575,NA,"2022-11-01T15:13:10+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"125",1671291,"WSH_10_WAT","COUNTRY","HTI","AMR","YEAR","Americas","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"1009 [736-1353]",1008.73352,736.37036,1352.62988,NA,"2022-11-01T15:13:09+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"126",646442,"WSH_10_WAT","COUNTRY","AFG","EMR","YEAR","Eastern Mediterranean","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"1188 [816-1662]",1188.19751,816.38464,1661.66089,NA,"2022-11-01T15:13:00+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"127",2736512,"WSH_10_WAT","COUNTRY","HTI","AMR","YEAR","Americas","SEX","SEX_FMLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"479 [338-661]",479.08041,337.75012,660.85968,NA,"2022-11-01T15:13:05+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"128",4268258,"WSH_10_WAT","COUNTRY","STP","AFR","YEAR","Africa","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"5 [3-7]",4.61156,2.96118,6.89959,NA,"2022-11-01T15:13:03+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"129",1374339,"WSH_10_WAT","COUNTRY","RUS","EUR","YEAR","Europe","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"15 [6-30]",14.75507,5.58372,30.26082,NA,"2022-11-01T15:12:59+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
