DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
590147,Population with water more than 30 minutes away round trip,33.7,1,BF,Burkina Faso,2017,BF2017MIS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2017-18,MIS,36348,36446,NA,NA,NA
590141,Population with unknown or missing information on round trip time to water,0.4,1,BF,Burkina Faso,2017,BF2017MIS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2017-18,MIS,36348,36446,NA,NA,NA
151848,Population with water on the premises,19.1,1,BF,Burkina Faso,2021,BF2021DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2021,DHS,82391,83215,NA,NA,NA
151838,Population with water 30 minutes or less away round trip,55.2,1,BF,Burkina Faso,2021,BF2021DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2021,DHS,82391,83215,NA,NA,NA
151849,Population with water more than 30 minutes away round trip,24.9,1,BF,Burkina Faso,2021,BF2021DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2021,DHS,82391,83215,NA,NA,NA
151851,Population with unknown or missing information on round trip time to water,0.7,1,BF,Burkina Faso,2021,BF2021DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2021,DHS,82391,83215,NA,NA,NA
156769,Population with water on the premises,25.8,1,BJ,Benin,2001,BJ2001DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2001,DHS,29908,29749,NA,NA,NA
156787,Population with water 30 minutes or less away round trip,63.5,1,BJ,Benin,2001,BJ2001DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2001,DHS,29908,29749,NA,NA,NA
156770,Population with water more than 30 minutes away round trip,10.7,1,BJ,Benin,2001,BJ2001DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2001,DHS,29908,29749,NA,NA,NA
156778,Population with unknown or missing information on round trip time to water,0,1,BJ,Benin,2001,BJ2001DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2001,DHS,29908,29749,NA,NA,NA
356660,Population with water on the premises,24.2,1,BJ,Benin,2006,BJ2006DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2006,DHS,88316,89282,NA,NA,NA
356668,Population with water 30 minutes or less away round trip,63.3,1,BJ,Benin,2006,BJ2006DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2006,DHS,88316,89282,NA,NA,NA
356661,Population with water more than 30 minutes away round trip,12.2,1,BJ,Benin,2006,BJ2006DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2006,DHS,88316,89282,NA,NA,NA
356647,Population with unknown or missing information on round trip time to water,0.3,1,BJ,Benin,2006,BJ2006DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2006,DHS,88316,89282,NA,NA,NA
