"","IndicatorCode","Country","Year","Value"
"371","SDGWSHBOD","KGZ",2019,2.6
"372","SDGWSHBOD","UKR",2019,3.3
"373","SDGWSHBOD","GBR",2019,5.6
"374","SDGWSHBOD","CRI",2019,3
"375","SDGWSHBOD","MRT",2019,35
"376","SDGWSHBOD","DNK",2019,4.2
"377","SDGWSHBOD","NOR",2019,3.2
"378","SDGWSHBOD","EUR",2019,3.33694
"379","SDGWSHBOD","GEO",2019,3.8
"380","SDGWSHBOD","CPV",2019,11.1
"381","SDGWSHBOD","NIC",2019,3.7
"382","SDGWSHBOD","SWE",2019,2.9
"383","SDGWSHBOD","PER",2019,7.6
"384","SDGWSHBOD","COM",2019,48.4
"385","SDGWSHBOD","AUT",2019,2
"386","SDGWSHBOD","CZE",2019,3.9
"387","SDGWSHBOD","FRA",2019,3.4
"388","SDGWSHBOD","FJI",2019,10.8
"389","SDGWSHBOD","BGD",2019,14.7
"390","SDGWSHBOD","BWA",2019,21.5
"391","SDGWSHBOD","BDI",2019,53.3
"392","SDGWSHBOD","AGO",2019,48.9
"393","SDGWSHBOD","PRY",2019,4.6
"394","SDGWSHBOD","TUR",2019,2.3
"395","SDGWSHBOD","HTI",2019,27.1
"396","SDGWSHBOD","HUN",2019,2.1
"397","SDGWSHBOD","ROU",2019,6
"398","SDGWSHBOD","AUS",2019,1.7
"399","SDGWSHBOD","TUR",2019,2.5
"400","SDGWSHBOD","ARG",2019,12.1
"401","SDGWSHBOD","BGR",2019,3.5
"402","SDGWSHBOD","GTM",2019,15.3
"403","SDGWSHBOD","ROU",2019,8.5
"404","SDGWSHBOD","NLD",2019,3.4
"405","SDGWSHBOD","COL",2019,3.4
"406","SDGWSHBOD","ATG",2019,2.5
"407","SDGWSHBOD","LBR",2019,35.2
"408","SDGWSHBOD","IDN",2019,15.2
"409","SDGWSHBOD","MAR",2019,4.5
"410","SDGWSHBOD","IDN",2019,16.4
"411","SDGWSHBOD","EST",2019,2.2
"412","SDGWSHBOD","ARE",2019,0.9
"413","SDGWSHBOD","MDG",2019,43.5
"414","SDGWSHBOD","BHR",2019,0.8
"415","SDGWSHBOD","GBR",2019,6.6
"416","SDGWSHBOD","SEAR",2019,35.61148
"417","SDGWSHBOD","TKM",2019,4.7
"418","SDGWSHBOD","IND",2019,45.4
"419","SDGWSHBOD","FSM",2019,14.6
"420","SDGWSHBOD","EMR",2019,18.43546
"421","SDGWSHBOD","ZMB",2019,31.7
"422","SDGWSHBOD","GNB",2019,51.2
"423","SDGWSHBOD","IRL",2019,2.5
"424","SDGWSHBOD","HRV",2019,2.7
"425","SDGWSHBOD","BIH",2019,1.8
"426","SDGWSHBOD","SWZ",2019,33.6
"427","SDGWSHBOD","PRT",2019,6.8
"428","SDGWSHBOD","COG",2019,26.4
"429","SDGWSHBOD","IRL",2019,2.7
"430","SDGWSHBOD","IRN",2019,2.6
"431","SDGWSHBOD","SLV",2019,6.1
"432","SDGWSHBOD","ISL",2019,2.4
"433","SDGWSHBOD","PRY",2019,4.4
"434","SDGWSHBOD","NPL",2019,17.8
"435","SDGWSHBOD","TJK",2019,9
"436","SDGWSHBOD","ALB",2019,3.6
"437","SDGWSHBOD","AZE",2019,3.1
"438","SDGWSHBOD","MUS",2019,5.2
"439","SDGWSHBOD","DJI",2019,37.6
"440","SDGWSHBOD","ISL",2019,2.3
"441","SDGWSHBOD","DZA",2019,3.9
"442","SDGWSHBOD","NIC",2019,3.5
"443","SDGWSHBOD","MAR",2019,4.6
"444","SDGWSHBOD","QAT",2019,0.3
"445","SDGWSHBOD","SSD",2019,72.9
"446","SDGWSHBOD","OMN",2019,1.5
"447","SDGWSHBOD","IRQ",2019,4
"448","SDGWSHBOD","BLZ",2019,4.9
"449","SDGWSHBOD","AMR",2019,5.02778
"450","SDGWSHBOD","DJI",2019,33.5
"451","SDGWSHBOD","BWA",2019,32.5
"452","SDGWSHBOD","GNB",2019,49.4
"453","SDGWSHBOD","BRA",2019,6.5
"454","SDGWSHBOD","DOM",2019,5.5
"455","SDGWSHBOD","CHL",2019,2.4
"456","SDGWSHBOD","NZL",2019,2.1
"457","SDGWSHBOD","AUS",2019,2.1
"458","SDGWSHBOD","LBY",2019,2.2
"459","SDGWSHBOD","CRI",2019,2.9
"460","SDGWSHBOD","LBY",2019,2.1
"461","SDGWSHBOD","STP",2019,16.8
"462","SDGWSHBOD","ROU",2019,7.2
"463","SDGWSHBOD","MUS",2019,5.5
"464","SDGWSHBOD","GUY",2019,8
"465","SDGWSHBOD","SEN",2019,36.2
"466","SDGWSHBOD","ECU",2019,4.5
"467","SDGWSHBOD","LTU",2019,2.6
"468","SDGWSHBOD","LSO",2019,99.5
"469","SDGWSHBOD","LCA",2019,5.8
"470","SDGWSHBOD","LAO",2019,20.5
"471","SDGWSHBOD","PRK",2019,3.7
"472","SDGWSHBOD","ERI",2019,66.5
"473","SDGWSHBOD","LBN",2019,2
"474","SDGWSHBOD","DEU",2019,3.6
"475","SDGWSHBOD","VNM",2019,6.9
"476","SDGWSHBOD","NLD",2019,3.8
"477","SDGWSHBOD","SLE",2019,69.5
"478","SDGWSHBOD","VNM",2019,6.4
"479","SDGWSHBOD","MNG",2019,2.6
"480","SDGWSHBOD","IND",2019,36.4
"481","SDGWSHBOD","BWA",2019,26.8
"482","SDGWSHBOD","MOZ",2019,55
"483","SDGWSHBOD","LAO",2019,19.7
"484","SDGWSHBOD","BDI",2019,46.8
"485","SDGWSHBOD","PHL",2019,16.9
"486","SDGWSHBOD","BEL",2019,5.3
"487","SDGWSHBOD","HND",2019,8.3
"488","SDGWSHBOD","LSO",2019,116.9
"489","SDGWSHBOD","VCT",2019,5.4
"490","SDGWSHBOD","DEU",2019,2.7
"491","SDGWSHBOD","MLI",2019,66.1
"492","SDGWSHBOD","BFA",2019,57.7
